ID	MS	Mp	VFN	Mh	Man	MMS	TAN	T	Va	Ve	Mk	Cn	Ct	Cr	m (kg)	ID	Mt	Enedc (g/km)	Ewltp (g/km)	W (mm)	At1 (mm)	At2 (mm)	Ft	Fm	ec (cm3)	ep (KW)	z (Wh/km)	It	Ernedc (g/km)	Erwltp (g/km)	De	Vf	r
9455801	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0249*04	NS	ACDFHAX1	NAD7AD7DL0030GS5S617	SKODA	KODIAQ	M1G	M1G	1752	9455801		150		1576	2788	1586	DIESEL	M	1968	140							1
428004	FI	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO a.s.	e8*2007/46*0249*06	NS	ACDFGAX1	NAM6AM6BB0035NS7N617	SKODA	KODIAQ	M1	M1	1748	428004		144		1576	2788	1586	Diesel	M	1968	110							1
9350283	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2007/46*0010*27	5L	ACCZCAX0	NFM6FM6AJ014STN617	SKODA	YETI	M1	M1	1355	9350283		134		1541	2576	1545	PETROL	M	1395	92							1
3403097	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e11*2007/46*0243*24	5E	AACUNAX0	RFM6FM6FB001V2MLN647	SKODA	OCTAVIA VRS TDI	M1	M1	1445	3403097		119		1544	2677	1535	Diesel	M	1968								1
3402959	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*00	5E	AACUNAX0	RFM6FM6FB001V2MLN647	SKODA	OCTAVIA VRS TDI	M1	M1	1445	3402959		119		1544	2677	1535	Diesel	M	1968								1
3420638	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*00	5E	AACUNAX0	RFM6FM6FB001V2MLN647	SKODA	OCTAVIA VRS TDI	M1	M1	1445	3420638		119		1544	2677	1535	Diesel	M	1968								1
3459939	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*00	5E	AACUNAX0	RFM6FM6FB001V2MLN647	SKODA	OCTAVIA VRS TDI	M1	M1	1445	3459939		119		1544	2677	1535	Diesel	M	1968								1
3318337	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e11*2007/46*0243*26	5E	AACUNAX0	RFM6FM6FB001V2MLN647	SKODA	OCTAVIA VRS TDI	M1	M1	1445	3318337		119		1544	2677	1535	Diesel	M	1968								1
3323354	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e11*2007/46*0243*25	5E	AACUNAX0	RFM6FM6FB001V2MLN647	SKODA	OCTAVIA VRS TDI	M1	M1	1445	3323354		119		1544	2677	1535	Diesel	M	1968								1
3345489	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*00	5E	ACCUNAX0	RFM6FM6FB001V2MLN647	SKODA	OCTAVIA VRS TDI	M1	M1	1467	3345489		119		1544	2677	1535	Diesel	M	1968								1
11263911	GR	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e13*2007/46*1169*14	AA	ABCHYA	FS5FS5CT0087MMVR0N1SSK61	SKODA	CITIGO	M1	M1	937	11263911		100		1408	2407	1412	Petrol	M	999	44							1
8549148	SI	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2007/46*0243*25	5E	ACCUNAX0	RFM6FM6FB001V2MLN647	SKODA	OCTAVIA / COMBI 2.0 / TDI	M1	M1	1467	8549148		119		1544	2677	1535	Diesel	M	1968	135							1
15047849	CZ	VW GROUP PC	IP-08-TMP-2018-0038	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0319*02	5J	ACDKLDX01	NFM5FM5DF0027CPN1C8A	ÂŠKODA	FABIA	M1	M1	1141	15047849	1254	105	126	1441	2455	1441	Petrol	M	999	70		e8 19	1			0	1
15158744	CZ	VW GROUP PC	IP-08-TMP-2018-2043	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0319*02	5J	ABDKRCX01	NFM6FM6DQ0027CPM1C8B	ÂŠKODA	FABIA	M1	M1	1132	15158744	1287	107	130	1441	2455	1441	Petrol	M	999	81		e8 19	1			0	1
15195369	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0318*00	5E	ACDDYAX0	NFM5FM5A4051STVLN617	ÂŠKODA	OCTAVIA	M1	M1	1327	15195369		106		1533	2667	1533	Diesel	M	1598	85							1
